Song Title,Bad Word Count,Total Word Count
Slide (Remix),0,163
Where I Go,0,163
Come Through,0,165
Every Kind of Way,0,326
Focus,0,416
Slide,2,691
Comfortable,2,710
Paradise,2,710
Damage,2,747
Deep,2,752
Karma,2,780
Session 32,2,889
Girls Need Love (Remix),2,893
Body,2,908
Sativa,3,948
Stay Ready (What a Life),4,1066
The Worst,4,1135
B.S.,4,1198
Blue Dream,4,1427
Back to the Streets,4,1468
Never Call Me,5,1508
Unloyal,8,1588
Scenic Drive,8,1588
Boy Bye,8,1588
BMO,8,1658
Night Drive,8,1698
Can’t Make U Change,8,1793
Pressure,8,1793
Leak It,8,1793
Exchange,8,2016
Right My Wrongs,8,2328
What Would You Do?,8,2328
Sorrows,8,2579
Outside,8,2579
Gotta Move On,8,2579
Outta Time,8,2592
THRU THE NIGHT,8,2735
Clouded,8,2853
ALL MINE,12,2912
Trust,12,2918
Been Away,14,3076
Poison,14,3096
SWEET / I THOUGHT YOU WANTED TO DANCE,14,3233
Rehab (Winter in Paris),15,3329
GRAVITY,15,3411
DEAD MAN WALKING,20,3529
Nights Like This,20,3547
Gangsta,21,3720
Toxic,22,3751
Can I,22,3810
Done for Me,22,3857
Good Thing,22,3857
Honey,23,3971
Ring,23,3971
Beautiful Lies,23,3971
Rich Flex,27,4101
Pussy & Millions,27,4173
Major Distribution,30,4375
On BS,33,4603
WAIT FOR U,33,4768
Circo Loco,36,5043
Spin Bout U,43,5302
Privileged Rappers,47,5536
Broke Boys,50,5686
Under the Influence,50,5747
"Rvssian, Rauw Alejandro & Chris Brown - Nostálgico (English Translation)",50,5747
Crazy,50,5846
Under the Influence (Body Language),50,5846
Superhero (Heroes & Villains),52,5969
Forever,52,5975
Monalisa (Remix),52,5985
With You,52,5998
Loyal,53,6070
Over,54,6113
Vibe Like This,54,6113
Guess,54,6113
Boy Bye,54,6113
Can You Blame Me,54,6143
Retrograde,54,6143
How Much Can a Heart Take,54,6143
Medicine,54,6253
What’s My Name,55,6262
Butterflies,55,6353
Butterflies Pt. 2,55,6454
Karma,55,6604
Pack Lite,55,6617
Bed Friend,55,6617
Without You,56,6654
Bust Your Windows,56,6662
Girl Like Me,58,6765
Pick Up Your Feelings,58,6800
Need U Bad,58,6806
On It,58,6824
"Lions, Tigers & Bears",58,6857
Let It Burn,58,6882
Hurt Me So Good,58,6926
Pink + White,58,7118
Lost,58,7302
Novacane,60,7537
Ivy,61,7836
Nights,66,8188
In My Room,68,8363
Thinkin Bout You,68,8614
White Ferrari,68,8842
Chanel,68,9098
Self Control,68,9297
